"";"cod_ente";"anno";"codice_gestionale";"imp_uscite_att";"data_inc_siope";"data_esc_siope";"cod_fiscale";"descr_ente";"cod_comune";"cod_provincia";"num_abitanti";"sottocomparto_siope";"imp_per_cap"
"119";36972;2014;2093;1382,71;"2007-01-02";"9999-12-31";207040254;"COMUNE DI FONZASO";22;25;3286;"COMUNE";0,42
"120";31822;2014;2101;291927,88;"2007-01-01";"9999-12-31";185970258;"COMUNE DI LOZZO DI CADORE";33;25;1485;"COMUNE";196,58
"121";29256313;2014;2102;790380,59;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";131730,1
"122";11117446;2014;2103;351614,51;"2007-01-01";"9999-12-31";206090250;"COMUNE DI ZOPPE' DI CADORE";69;25;252;"COMUNE";1395,3
"123";11117446;2014;2106;6830;"2007-01-01";"9999-12-31";206090250;"COMUNE DI ZOPPE' DI CADORE";69;25;252;"COMUNE";27,1
"124";29256313;2014;2107;120850,91;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";20141,82
"125";28470;2014;2108;530611,88;"2007-01-02";"9999-12-31";173100256;"COMUNE DI CENCENIGHE AGORDINO";10;25;1375;"COMUNE";385,9
"126";36777;2014;2109;1616800,91;"2007-01-02";"9999-12-31";206310252;"COMUNE DI SAN VITO DI CADORE";51;25;1795;"COMUNE";900,72
"127";11117480;2014;2110;30208,36;"2007-01-01";"9999-12-31";208500256;"COMUNE DI COLLE SANTA LUCIA";14;25;388;"COMUNE";77,86
"128";29256313;2014;2111;24107,2;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";4017,87
"129";8028;2014;2112;95352,54;"2007-01-01";"9999-12-31";86680253;"COMUNE DI LIMANA";29;25;5124;"COMUNE";18,61
"130";28467;2014;2113;1157130,26;"2007-01-02";"9999-12-31";173090259;"COMUNE DI CANALE D'AGORDO";23;25;1156;"COMUNE";1000,98
"131";31816;2014;2114;16709,75;"2007-01-01";"9999-12-31";185950250;"COMUNE DI LORENZAGO DI CADORE";32;25;556;"COMUNE";30,05
"132";15887356;2014;2115;245116,02;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";475,03
"133";29256313;2014;2116;783854,47;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";130642,41
"134";11117480;2014;2117;59082,86;"2007-01-01";"9999-12-31";208500256;"COMUNE DI COLLE SANTA LUCIA";14;25;388;"COMUNE";152,28
"135";15887356;2014;2201;14535,34;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";28,17
"136";22054;2014;2301;242722,48;"2007-01-01";"9999-12-31";149750259;"COMUNE DI RIVAMONTE AGORDINO";43;25;652;"COMUNE";372,27
"137";36844;2014;2501;65680;"2007-01-02";"9999-12-31";206570251;"COMUNE DI GOSALDO";25;25;689;"COMUNE";95,33
"138";29256313;2014;2502;36823,83;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";6137,31
"139";29295;2014;2503;23616,4;"2007-01-01";"9999-12-31";176800258;"COMUNE DI SEDICO";53;25;9980;"COMUNE";2,37
"140";28467;2014;2505;5753;"2007-01-02";"9999-12-31";173090259;"COMUNE DI CANALE D'AGORDO";23;25;1156;"COMUNE";4,98
"141";29256313;2014;2506;2943,27;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";490,55
"142";29256313;2014;2507;10971,8;"2014-03-24";"9999-12-31";1155460254;"COMUNE DI LONGARONE";71;25;6;"COMUNE";1828,63
"143";11117416;2014;2508;4000;"2007-01-02";"9999-12-31";203700257;"COMUNE DI SAN GREGORIO NELLE ALPI";45;25;1610;"COMUNE";2,48
"144";36672;2014;2509;7510,5;"2007-01-01";"9999-12-31";205960255;"COMUNE DI TRICHIANA";61;25;4877;"COMUNE";1,54
"145";15887356;2014;2511;20980,21;"2007-01-01";"9999-12-31";80005530250;"COMUNE DI SELVA DI CADORE";54;25;516;"COMUNE";40,66
